MS Zoning;A (agr);C;FV;I (all);RH;RL;RM;Lot Frontage;Lot Area;Street;Pave;Grvl;Alley;Pave;Grvl;NA;Lot Shape;IR1;IR2;IR3;Reg;Land Contour;Bnk;HLS;Low;Lvl;Utilities;AllPub;NoSeWa;NoSewr;Lot Config;Corner;CuIDSac;FR2;FR3;Inside;Land Slope;Gtl;Mod;Sev;Neighborhood;Blmngtn;Blueste;BrDale;BrkSide;ClearCr;CollgCr;Crawfor;Edwards;Gilbert;Greens;GrnHill;IDOTRR;Landmrk;MeadowV;Mitchel;NAmes;NoRidge;NPkVill;NridgHt;NWAmes;OldTown;Sawyer;SawyerW;Somerst;StoneBr;SWISU;Timber;Veenker;Condition 1;Artery;Feedr;Norm;RRNn;RRAn;PosN;PosA;RRNe;RRAe;Condition 2;Artery;Feedr;Norm;RRNn;RRAn;PosN;PosA;RRNe;RRAe;Bldg Type;1Fam;2FmCon;Duplx;TwnhsE;TwnhsI;House Style;1Story;1.5Fin;1.5Unf;2Story;2.5Fin;2.5Unf;Sfoyer;SLvl;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Roof Style;Flat;Gable;Gambrel;Hip;Mansard;Shed;Roof Matl;ClyTile;CompShg;Membran;Metal;Roll;Tar&Grv;WdShake;WdShngl;Exterior 1st;AsbShng;AsphShn;BrkComm;BrkFace;CBlock;CemntBd;HdBoard;ImStucc;MetalSd;Other;Plywood;PreCast;Stone;Stucco;VinylSd;Wd Sdng;WdShing;Exterior 2nd;AsbShng;AsphShn;BrkComm;BrkFace;CBlock;CemntBd;HdBoard;ImStucc;MetalSd;Other;Plywood;PreCast;Stone;Stucco;VinylSd;Wd Sdng;WdShing;Mas Vnr Type;BrkCmn;BrkFace;CBlock;None;Stone;Mas Vnr Area;BsmtFin SF 1;BsmtFin SF 2;Bsmt Unf SF;Total Bsmt SF;1st Flr SF;2nd Flr SF;Low Qual Fin SF;Gr Liv Area;Bsmt Full Bath;Bsmt Half Bath;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;TotRms AbvGrd;Fireplaces;Garage Yr Blt;Garage Cars;Garage Area;Wood Deck SF;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;Pool Area;Mo Sold;1;2;3;4;5;6;7;8;9;10;11;12;Yr Sold;2006;2007;2008;2009;2010;Sale Type;COD;Con;ConLD;ConLI;ConLW;CWD;New;Oth;VWD;WD ;Sale Condition;Normal;Abnorml;AdjLand;Alloca;Family;Partial;SalePrice
RM;0;0;0;0;0;0;1;68;8930;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;Sawyer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;RRAe;0;0;0;0;0;0;0;0;1;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;1.5Fin;0;1;0;0;0;0;0;0;6;5;1978;1978;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;VinylSd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;VinylSd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;None;0;0;0;1;0;0;0;0;0;0;1318;584;0;1902;0;0;2;0;4;2;8;0;1978;2;539;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;2010;0;0;0;0;1;WD ;0;0;0;0;0;0;0;0;0;1;Normal;1;0;0;0;0;0;112000
RL;0;0;0;0;0;1;0;60;7200;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;NAmes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;1Story;1;0;0;0;0;0;0;0;5;7;1955;2007;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;VinylSd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;VinylSd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;None;0;0;0;1;0;0;0;0;0;0;827;0;0;827;0;0;1;0;2;1;5;1;1967;1;392;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;2010;0;0;0;0;1;WD ;0;0;0;0;0;0;0;0;0;1;Normal;1;0;0;0;0;0;107500
RL;0;0;0;0;0;1;0;60;11100;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Low;0;0;1;0;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;Edwards;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;1Story;1;0;0;0;0;0;0;0;4;7;1946;2006;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;MetalSd;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;MetalSd;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;930;0;0;930;0;0;1;0;2;1;6;0;1946;1;308;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;2010;0;0;0;0;1;WD ;0;0;0;0;0;0;0;0;0;1;Abnorml;0;1;0;0;0;0;84900
RL;0;0;0;0;0;1;0;67;8777;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Mod;0;1;0;Edwards;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Feedr;0;1;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;1Story;1;0;0;0;0;0;0;0;3;6;1945;2007;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;VinylSd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;VinylSd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;None;0;0;0;1;0;0;0;0;0;0;640;0;0;640;0;0;1;0;2;1;5;0;1945;1;240;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;2010;0;0;0;0;1;ConLD;0;0;1;0;0;0;0;0;0;0;Normal;1;0;0;0;0;0;84900
RL;0;0;0;0;0;1;0;75;8250;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;SawyerW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;2Story;0;0;0;1;0;0;0;0;6;7;1981;1981;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;Wd Sdng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Wd Shng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;964;918;0;1882;0;0;2;0;4;2;8;2;1981;2;612;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Normal;1;0;0;0;0;0;160000
RL;0;0;0;0;0;1;0;75;9533;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;NAmes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;1Story;1;0;0;0;0;0;0;0;5;5;1953;1953;Hip;0;0;0;1;0;0;CompShg;0;1;0;0;0;0;0;0;Wd Sdng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Wd Sdng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;BrkFace;0;1;0;0;0;140;0;0;0;0;1210;0;0;1210;0;0;1;1;2;1;7;0;1953;1;616;208;0;100;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;2009;0;0;0;1;0;ConLD;0;0;1;0;0;0;0;0;0;0;Normal;1;0;0;0;0;0;102900
RL;0;0;0;0;0;1;0;60;8544;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Corner;1;0;0;0;0;Gtl;1;0;0;NAmes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;1Story;1;0;0;0;0;0;0;0;3;4;1950;1950;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;BrkFace;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;BrkFace;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1040;0;0;1040;0;0;2;0;2;2;6;0;1987;2;400;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Normal;1;0;0;0;0;0;92900
RL;0;0;0;0;0;1;0;60;7200;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;NAmes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;1Story;1;0;0;0;0;0;0;0;4;5;1949;1950;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;BrkFace;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Stone;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1040;0;0;1040;0;0;2;0;2;2;6;0;1956;2;420;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Normal;1;0;0;0;0;0;90000
RM;0;0;0;0;0;0;1;50;5925;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Corner;1;0;0;0;0;Gtl;1;0;0;OldTown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;1Story;1;0;0;0;0;0;0;0;2;4;1940;1950;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;MetalSd;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;MetalSd;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;612;0;0;612;0;0;1;0;1;1;4;0;1965;1;308;0;0;25;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Normal;1;0;0;0;0;0;45000
RL;0;0;0;0;0;1;0;120;26400;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Bnk;1;0;0;0;AllPub;1;0;0;FR2;0;0;1;0;0;Gtl;1;0;0;SawyerW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Feedr;0;1;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;2Story;0;0;0;1;0;0;0;0;5;7;1880;2007;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1288;728;0;2016;0;0;1;0;4;1;7;1;1900;2;576;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Normal;1;0;0;0;0;0;131000
