Sum of BE / Sum of ME,,,,,,,,,,
Year,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1926,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
1927,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
1928,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
1929,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
1930,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
1931,0.76,0.74,1.15,1.69,0.54,0.77,0.76,0.4,0.51,1.84
1932,1.68,3.08,4.21,3.37,2.14,2.1,2.02,1.1,1.71,9.1
1933,0.66,0.66,1.11,1.46,0.71,1.13,0.81,0.39,0.94,2.65
1934,0.72,0.67,1.14,1.4,0.76,1.25,0.74,0.3,1.45,2.8
1935,0.68,0.59,1.03,1.32,0.62,1.12,0.74,0.33,1.51,3.06
1936,0.65,0.32,0.69,0.81,0.43,0.81,0.64,0.31,1.03,2.06
1937,0.67,0.43,0.57,0.84,0.37,0.86,0.64,0.29,1.31,1.9
1938,0.81,0.65,0.84,1.19,0.46,0.96,0.82,0.31,1.56,2.94
1939,0.79,0.62,0.88,1.54,0.53,0.86,0.74,0.27,1.19,3.21
1940,0.89,0.62,0.9,1.82,0.62,0.86,0.84,0.33,1.18,3.26
1941,0.94,0.7,0.89,1.51,0.6,0.9,0.87,0.43,1.69,3
1942,1.1,0.77,1.17,1.81,0.73,1.27,1.1,0.46,2.49,3.44
1943,0.8,0.53,0.88,1.1,0.47,0.9,0.72,0.34,1.5,2.19
1944,0.75,0.48,0.85,1.14,0.48,0.81,0.7,0.34,1.4,2.16
1945,0.65,0.45,0.75,1.04,0.46,0.76,0.6,0.38,1.1,1.7
1946,0.5,0.43,0.6,0.84,0.47,0.66,0.42,0.24,0.83,1.4
1947,0.7,0.57,0.82,0.95,0.54,0.85,0.63,0.44,0.97,2.15
1948,0.87,0.57,0.78,0.81,0.55,0.9,0.66,0.48,0.98,1.96
1949,0.91,0.84,1.03,1.27,0.78,1.06,0.81,0.54,1.04,2.53
1950,0.88,0.64,0.87,1.12,0.64,0.94,0.77,0.45,0.85,2.38
1951,0.92,0.7,0.79,0.87,0.6,0.97,0.78,0.38,0.85,1.98
1952,0.98,0.6,0.79,0.73,0.56,0.97,0.79,0.43,0.71,1.71
1953,0.99,0.65,0.86,0.9,0.6,0.97,0.88,0.58,0.78,1.82
1954,0.98,0.59,0.71,0.82,0.4,0.9,0.79,0.52,0.67,1.74
1955,0.83,0.41,0.47,0.62,0.32,0.83,0.61,0.42,0.61,1.17
1956,0.87,0.43,0.46,0.54,0.32,0.86,0.62,0.37,0.63,1.29
1957,0.94,0.5,0.53,0.53,0.29,0.9,0.73,0.31,0.66,1.45
1958,0.83,0.6,0.63,0.66,0.36,0.85,0.67,0.28,0.59,1.54
1959,0.67,0.43,0.46,0.69,0.24,0.66,0.51,0.18,0.55,1.26
1960,0.58,0.54,0.53,0.89,0.22,0.61,0.49,0.19,0.51,1.48
1961,0.44,0.56,0.51,0.74,0.23,0.5,0.47,0.19,0.47,1.16
1962,0.6,0.57,0.71,0.81,0.32,0.62,0.57,0.28,0.54,1.55
1963,0.55,0.4,0.59,0.61,0.28,0.53,0.5,0.27,0.45,1.12
1964,0.51,0.37,0.53,0.55,0.24,0.47,0.42,0.26,0.45,0.93
1965,0.51,0.36,0.53,0.57,0.27,0.54,0.4,0.23,0.45,0.99
1966,0.54,0.42,0.5,0.6,0.23,0.67,0.48,0.2,0.53,0.85
1967,0.5,0.46,0.49,0.58,0.19,0.66,0.46,0.18,0.56,0.77
1968,0.43,0.43,0.47,0.54,0.17,0.74,0.37,0.18,0.57,0.65
1969,0.48,0.49,0.53,0.56,0.21,0.74,0.4,0.21,0.65,0.72
1970,0.62,0.69,0.75,0.93,0.37,1.02,0.58,0.25,0.87,1.04
1971,0.46,0.46,0.56,0.69,0.28,0.91,0.37,0.2,0.74,0.75
1972,0.43,0.47,0.51,0.78,0.25,1,0.34,0.18,0.87,0.68
1973,0.57,0.65,0.58,0.7,0.32,0.96,0.51,0.2,0.93,0.8
1974,0.74,0.89,0.72,0.94,0.49,1.2,0.63,0.26,1.5,1.08
1975,0.71,0.89,0.73,0.85,0.49,1.16,0.63,0.29,1.22,0.93
1976,0.7,0.72,0.7,0.82,0.43,1.13,0.63,0.37,1.22,0.96
1977,0.75,0.79,0.85,0.85,0.5,1.08,0.74,0.48,1.1,1.01
1978,0.76,0.93,0.94,1.08,0.51,1.22,0.78,0.45,1.28,1.05
1979,0.85,1.03,0.97,0.89,0.5,1.3,0.88,0.49,1.36,1.02
1980,0.86,1.25,1.01,0.69,0.58,1.5,0.92,0.49,1.36,1.05
1981,0.76,0.97,0.88,0.8,0.51,1.38,0.76,0.41,1.44,0.9
1982,0.85,1.06,1.3,1.29,0.68,1.55,0.86,0.48,1.56,1.27
