Value-Weighted Average of BE/ME,,,,,,,,,,
Year,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1926,0.78,0.56,1.02,0.88,0.49,0.87,0.38,0.73,0.78,1.31
1927,0.66,0.5,0.97,1.02,0.56,0.8,0.48,0.57,0.94,1.43
1928,0.54,0.34,0.71,1.01,0.42,0.71,0.38,0.32,0.68,1.15
1929,0.46,0.26,0.52,0.79,0.28,0.67,0.27,0.25,0.46,1
1930,0.6,0.56,0.66,0.96,0.31,0.6,0.53,0.39,0.4,1.16
1931,0.79,0.76,1.03,1.44,0.61,0.79,0.87,0.46,0.55,1.74
1932,1.09,1.26,2.2,3,1.05,1.34,1.04,0.55,0.93,3.81
1933,1.52,1.52,2.76,2.74,1.39,1.43,1.74,0.63,1.11,5.97
1934,0.84,0.6,1.11,1.38,0.77,1.25,0.86,0.37,1.55,3.06
1935,0.7,0.57,1.03,1.37,0.73,1.33,0.74,0.33,1.93,2.8
1936,0.66,0.37,0.79,0.81,0.45,0.88,0.68,0.32,1.15,2.37
1937,0.6,0.36,0.58,0.81,0.34,0.75,0.55,0.25,0.96,1.79
1938,0.88,0.78,0.93,1.27,0.53,0.95,0.98,0.35,1.65,2.78
1939,0.75,0.48,0.63,1.21,0.4,0.88,0.74,0.28,1.17,2.15
1940,0.74,0.48,0.69,1.44,0.48,0.79,0.71,0.28,1.09,2.42
1941,0.93,0.57,0.82,1.67,0.58,0.85,0.83,0.4,1.33,3.33
1942,1.04,0.89,1.06,1.64,0.79,1.1,1.05,0.45,2.34,3.71
1943,1.12,0.75,1.13,1.5,0.69,1.12,1.05,0.42,2.55,3.73
1944,0.88,0.61,0.98,1.22,0.56,0.85,0.82,0.37,1.55,2.73
1945,0.77,0.51,0.86,1.15,0.52,0.81,0.68,0.42,1.48,2.26
1946,0.55,0.42,0.68,0.94,0.46,0.69,0.5,0.31,0.98,1.44
1947,0.65,0.6,0.76,1.01,0.52,0.77,0.61,0.36,0.89,1.84
1948,0.87,0.62,0.85,0.97,0.61,0.96,0.72,0.48,1.09,2.34
1949,0.89,0.76,0.91,1.13,0.69,0.99,0.83,0.56,1.14,2.16
1950,0.85,0.73,0.95,1.22,0.69,1,0.76,0.46,0.86,2.35
1951,0.88,0.69,0.79,0.98,0.68,0.99,0.76,0.44,0.9,1.83
1952,0.95,0.65,0.78,0.8,0.58,0.97,0.79,0.4,0.75,1.97
1953,0.96,0.57,0.78,0.83,0.55,0.95,0.84,0.51,0.74,1.72
1954,1.06,0.68,0.88,0.96,0.55,0.97,0.85,0.55,0.75,2.01
1955,0.87,0.46,0.56,0.7,0.35,0.88,0.66,0.45,0.64,1.34
1956,0.84,0.41,0.48,0.62,0.34,0.86,0.61,0.4,0.64,1.28
1957,0.95,0.5,0.52,0.57,0.33,0.91,0.72,0.37,0.67,1.44
1958,1.02,0.69,0.72,0.76,0.4,0.94,0.81,0.36,0.69,1.91
1959,0.74,0.51,0.51,0.64,0.28,0.72,0.55,0.23,0.54,1.34
1960,0.59,0.42,0.47,0.74,0.22,0.68,0.51,0.21,0.55,1.33
1961,0.53,0.65,0.59,0.83,0.25,0.55,0.55,0.22,0.52,1.31
1962,0.44,0.46,0.53,0.72,0.22,0.47,0.42,0.19,0.46,1.19
