Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
540.00,0.00,0.00,162.00,2.50,1040.00,676.00,28.00,79.99
540.00,0.00,0.00,162.00,2.50,1055.00,676.00,28.00,61.89
332.50,142.50,0.00,228.00,0.00,932.00,594.00,270.00,40.27
332.50,142.50,0.00,228.00,0.00,932.00,594.00,365.00,41.05
198.60,132.40,0.00,192.00,0.00,978.40,825.50,360.00,44.30
266.00,114.00,0.00,228.00,0.00,932.00,670.00,90.00,47.03
380.00,95.00,0.00,228.00,0.00,932.00,594.00,365.00,43.70
380.00,95.00,0.00,228.00,0.00,932.00,594.00,28.00,36.45
266.00,114.00,0.00,228.00,0.00,932.00,670.00,28.00,45.85
475.00,0.00,0.00,228.00,0.00,932.00,594.00,28.00,39.29
198.60,132.40,0.00,192.00,0.00,978.40,825.50,90.00,38.07
198.60,132.40,0.00,192.00,0.00,978.40,825.50,28.00,28.02
427.50,47.50,0.00,228.00,0.00,932.00,594.00,270.00,43.01
190.00,190.00,0.00,228.00,0.00,932.00,670.00,90.00,42.33
304.00,76.00,0.00,228.00,0.00,932.00,670.00,28.00,47.81
380.00,0.00,0.00,228.00,0.00,932.00,670.00,90.00,52.91
139.60,209.40,0.00,192.00,0.00,1047.00,806.90,90.00,39.36
342.00,38.00,0.00,228.00,0.00,932.00,670.00,365.00,56.14
380.00,95.00,0.00,228.00,0.00,932.00,594.00,90.00,40.56
475.00,0.00,0.00,228.00,0.00,932.00,594.00,180.00,42.62
427.50,47.50,0.00,228.00,0.00,932.00,594.00,180.00,41.84
139.60,209.40,0.00,192.00,0.00,1047.00,806.90,28.00,28.24
139.60,209.40,0.00,192.00,0.00,1047.00,806.90,3.00,8.06
139.60,209.40,0.00,192.00,0.00,1047.00,806.90,180.00,44.21
380.00,0.00,0.00,228.00,0.00,932.00,670.00,365.00,52.52
380.00,0.00,0.00,228.00,0.00,932.00,670.00,270.00,53.30
380.00,95.00,0.00,228.00,0.00,932.00,594.00,270.00,41.15
342.00,38.00,0.00,228.00,0.00,932.00,670.00,180.00,52.12
