0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1;0.263690618;0.662957394;0.339999332;0.266518765;0.128220119;0.158239124;0.040642891;0.039254901;0.136223613;0.069903271;0.496025692;0.32125877;0.349712534;0.175742285;0.222178194;0.420605162;0.074715022;0.474050066;0.502416847;0.157234044
1.047;0.243063452;0.66071412;0.337003526;0.253872672;0.118450305;0.139611805;0.040887528;0.010551492;0.134924938;0.059134826;0.484473159;0.314828248;0.347100137;0.171656321;0.218366677;0.415311461;0.068306602;0.46570882;0.499986056;0.159768738
1.097;0.220227017;0.658724445;0.332956909;0.239995647;0.109434487;0.122771628;0.040574273;-0.000363722;0.133213944;0.053471517;0.472557141;0.307828023;0.344236309;0.167130688;0.214978922;0.40870646;0.061175455;0.456177195;0.4973848;0.161507612
1.148;0.1938302;0.656384762;0.328092315;0.224451325;0.100064894;0.110795404;0.040001833;-0.005632123;0.131078826;0.048760913;0.466448627;0.299943386;0.340927534;0.162339932;0.211190936;0.400850016;0.05331366;0.445194426;0.495563123;0.160455571
1.203;0.165232993;0.654056766;0.321943849;0.207793975;0.089273369;0.101697542;0.037373846;-0.004910457;0.128377547;0.04378363;0.460734017;0.291137027;0.337282011;0.156646745;0.206485356;0.391673861;0.044589507;0.432680863;0.493237326;0.159189502
1.26;0.135557785;0.650928362;0.315028544;0.190479277;0.077829473;0.092667424;0.034224566;-0.004210911;0.125140346;0.038810908;0.453892406;0.281147128;0.33377765;0.150235201;0.199931673;0.380882843;0.034848083;0.418448393;0.490348173;0.157636834
1.319;0.102284051;0.646532662;0.309931806;0.173866461;0.067866797;0.081912358;0.032565787;-0.003546707;0.121227584;0.033329426;0.446059235;0.270255138;0.331247353;0.143623158;0.192946746;0.368069093;0.024136251;0.402252082;0.486830553;0.155828898
1.381;0.065768166;0.639352208;0.305738283;0.15963256;0.064865213;0.07458125;0.032558757;-0.002894651;0.116628204;0.028613801;0.440203101;0.258920882;0.328405019;0.140579434;0.185136192;0.353501694;0.012285302;0.383898529;0.482596766;0.15358637
1.447;0.031608538;0.628544598;0.301079448;0.153297446;0.065076963;0.068205535;0.032403028;-0.002314895;0.112109294;0.024012012;0.43453946;0.246959994;0.325239746;0.138356256;0.176616319;0.337929295;-0.000730437;0.363190954;0.477555517;0.151010584
1.515;0.012978743;0.617023418;0.295743377;0.148360963;0.065377158;0.066810196;0.032084512;-0.001777847;0.108775221;0.019080042;0.428153898;0.234318888;0.32170257;0.135762304;0.168498502;0.321056595;-0.015055716;0.34069116;0.471665713;0.147971224
1.586;-0.000978845;0.608410837;0.289641459;0.141422642;0.064931924;0.066755656;0.031704506;-0.001327413;0.104832887;0.015676611;0.421373591;0.223101004;0.317745382;0.13264327;0.160198591;0.30233683;-0.030720043;0.317182093;0.465588231;0.144526027
1.661;-0.002673729;0.601327298;0.282826357;0.13161949;0.064470368;0.066521319;0.031398411;-0.000924374;0.100212109;0.014444277;0.414645438;0.211759143;0.313362942;0.129001447;0.151218146;0.289029705;-0.041852368;0.294934135;0.459454071;0.140513686
