0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1;-0.071706355;-5.400213702;-0.122521162;-1.343153137;-0.296754694;-0.01416059;-0.320086776;-0.064350611;-0.322620569;-0.183818677;-1.223797015;-3.101193709;-0.401041324;0.081026694;0.133574098;-2.08990255;0.044033032;0.286753734;-0.670499508;-0.10257856
1.047;-0.076484562;-5.224139478;-0.083390644;-1.332255691;-0.295791483;-0.05451841;-0.322833892;-0.054086569;-0.283512461;-0.191100233;-1.17876959;-2.891665082;-0.382981107;0.083247617;0.132734632;-1.996535261;0.044543255;0.278882066;-0.66418983;-0.095226786
1.097;-0.08204812;-5.02828759;-0.051609124;-1.323893154;-0.292206071;-0.066598922;-0.325971132;-0.063093407;-0.245862168;-0.193609738;-1.137680363;-2.675795956;-0.365195053;0.084095802;0.133215116;-1.902655575;0.044574957;0.269153816;-0.656001242;-0.088644137
1.148;-0.089013023;-4.823427123;-0.01750304;-1.321247752;-0.287162102;-0.060180829;-0.329582161;-0.071482472;-0.20709749;-0.195036207;-1.117726728;-2.465985424;-0.347445087;0.08346195;0.13324548;-1.805659633;0.044145044;0.257402126;-0.635145061;-0.085201297
1.203;-0.097996234;-4.580153058;0.014868033;-1.320371087;-0.283660915;-0.061421453;-0.334078456;-0.073422051;-0.17322953;-0.195708766;-1.099397348;-2.267908111;-0.330368808;0.082117097;0.134164968;-1.706017442;0.042769835;0.243156088;-0.614728003;-0.081667794
1.26;-0.110413191;-4.3376654;0.032157163;-1.324485992;-0.277047802;-0.06154129;-0.339803577;-0.075466067;-0.140017236;-0.1954771;-1.072031088;-2.071545885;-0.313069491;0.079837355;0.138295859;-1.606006611;0.039073318;0.226051806;-0.594158812;-0.078293182
1.319;-0.124580893;-4.09942884;0.033140618;-1.323578563;-0.270564482;-0.059732952;-0.346045211;-0.077619748;-0.108158769;-0.195394527;-1.045169692;-1.884031037;-0.294165779;0.076463007;0.141494633;-1.50415099;0.034559456;0.205318044;-0.573301949;-0.074766788
1.381;-0.139324793;-3.832149229;0.035029833;-1.331785608;-0.262868619;-0.051004622;-0.353025137;-0.080004866;-0.079847906;-0.196287562;-1.024006408;-1.71334357;-0.274838717;0.072333868;0.14454945;-1.402341988;0.02909769;0.181220508;-0.552299526;-0.071506401
1.447;-0.152428349;-3.466777563;0.036893539;-1.352291981;-0.25551675;-0.040545875;-0.360440323;-0.082430902;-0.056795127;-0.197701017;-1.004668357;-1.559690981;-0.255612059;0.067547168;0.146758126;-1.302652684;0.022607914;0.153637059;-0.531320179;-0.068186177
1.515;-0.160864411;-3.137970623;0.038563422;-1.378288209;-0.247752604;-0.035700668;-0.368475617;-0.085066026;-0.039664168;-0.19928148;-0.985889323;-1.43009629;-0.236446484;0.06190491;0.14407214;-1.20549356;0.014984984;0.127555352;-0.510435143;-0.065036346
1.586;-0.168540282;-2.858081083;0.040045375;-1.397835627;-0.241643462;-0.034485853;-0.374247051;-0.087737946;-0.022301772;-0.201173821;-0.965467251;-1.317260033;-0.217453015;0.05530119;0.13889234;-1.112811075;0.006121636;0.106350412;-0.490146211;-0.061894902
