Year/Month;NoDur;Durbl;Manuf;Enrgy;HiTec;Telcm;Shops;Hlth ;Utils;Other
192607;0.011632084;0.039509133;0.022739487;-0.022143365;0.021859334;0.013014937;0.006876304;0.024204689;0.047360571;0.002097798
192608;0.051453282;0.002796087;0.020880478;0.04315527;0.025765208;0.010742097;-0.000300045;0.059306106;-0.020202707;0.044303926
192609;0.000299955;-0.03397052;0.005286004;-0.03573081;0.008563231;0.002197584;-0.007125325;0.00796817;0.02039069;-0.005314095
192610;-0.026241311;-0.099378444;-0.05245186;0.026349775;-0.058901108;-0.009949331;-0.03334998;0.001299156;-0.030253043;-0.025420377
192611;0.058929068;-0.003807238;0.016758784;0.015774919;0.013113639;0.014691549;0.013409687;0.069526063;0.05552931;0.008464078
192612;0.004091618;0.046883586;0.03333806;0.048027969;0.014494446;0.01607018;0.027712439;0.004191205;0.017053755;0.01222497
192701;-0.01501212;-0.022961612;0.007769737;0.036139047;0.004390348;0.001299156;-0.023166278;0.059494572;-0.004409708;0.050312814
192702;0.035077527;0.058834786;0.061847403;0.041525747;0.080011938;0.067471715;0.049742092;0.024399887;0.047646653;0.075200233
192703;-0.032833157;-0.02388294;-0.012477522;-0.095960391;-0.015926151;0.013409687;0.00249688;-0.002002003;0.02166364;0.00039992
192704;0.013212331;-0.011768984;0.01557803;-0.040093094;0.020194707;0.005783245;0.032757564;0.056380333;0.016758784;0.014297305
192705;0.068872864;0.040661982;0.0605305;0.071669287;0.030917103;0.015873349;0.020880478;0.046788161;0.088834714;0.080842388
192706;-0.021427947;-0.040509543;-0.036352829;-0.002703652;0.01557803;-0.026652031;-0.018571386;0.03575317;-0.033556784;-0.012578782
192707;0.063538021;0.06024808;0.075292984;0.021761492;0.071762366;0.042676274;0.057891478;0.082409136;0.040949986;0.044590883
192708;0.01064316;0.017250353;0.007273484;-0.019794627;-0.016231013;0.013014937;0.029267498;0.001498876;0.059871397;-0.017044435
192709;0.028976108;-0.007729798;0.014100124;0.03893221;0.041909403;0.050693114;0.036813973;0.058268908;0.090023503;0.039028387
192710;-0.015113638;-0.03759803;-0.047406122;-0.046043939;-0.039052727;-0.023575737;-0.037701867;0.050217716;-0.047930534;-0.046148656
192711;0.073807927;0.107777592;0.135142594;0.09376353;0.138456743;0.035946127;0.083421608;0.049266241;0.057891478;0.073900808
192712;0.03449804;0.063819513;0.047455941;0.005982072;0.009950331;0.033628181;0.01813457;-0.014301785;0.017839918;0.020586634
192801;0.040949986;-0.01959065;0.05088321;-0.004811557;0.017839918;-0.018673265;0.038162461;0.01439588;0.083973434;0.03246719
192802;-0.024497632;-0.024805119;-0.027268427;-0.02040681;0.00079968;-0.003807238;-0.014707629;-0.019080888;-0.016434306;-0.030768534
192803;0.054109326;0.138891999;0.062786988;0.06024808;0.126368299;0.031498667;0.059777204;0.085810656;0.04831386;0.060059756
192804;0.038643624;0.050978245;0.078348966;0.231349788;0.047265192;0.023814178;0.050978245;0.033047854;0.103819329;0.071110627
192805;0.027615167;0.085443482;0.035560175;-0.03469497;0.11172025;0.06325645;0.045164552;0.069619342;0.016857117;0.049837235
192806;-0.077529203;-0.121828708;-0.079909383;-0.06325934;-0.048875168;-0.064751877;-0.051503843;-0.014707629;-0.03894875;-0.058052931
192807;0.001598721;0.001898197;0.001698557;0.017545179;0.001698557;-0.00080032;0.031886189;-0.008132983;-0.01095984;-0.010252376
192808;0.050122609;0.100116791;0.072971612;0.009752291;0.053445976;0.023032699;0.07399368;0.089657872;0.055623904;0.0428679
192809;0.029558802;0.074457911;0.072413681;0.07278567;0.031789322;0.004987542;0.032273561;-0.00060018;0.048218572;0.035367144
192810;0.031014054;0.005882663;0.011928571;0.022837234;0.017938145;0.072692685;0.043538302;0.00249688;-0.022450129;0
192811;0.082777426;0.111541375;0.121863588;0.136364875;0.132430787;0.085168012;0.098668172;0.03449804;0.167969051;0.101653654
192812;-0.010252376;0.019214219;0.01960653;-0.073754189;0.03575317;-0.021427947;-0.001501126;-0.004811557;0.022934971;-0.011162065
192901;0.019116117;0.031886189;0.058646195;-0.064965279;0.071017487;0.075663904;-0.022859294;0.045068963;0.145225252;0.054014588
192902;-0.024805119;-0.009545413;0.024107075;0.009752291;0.054014588;-0.015215166;-0.006018072;-0.000700245;-0.015316704;0.012817504
192903;-0.055195635;-0.072678225;-0.029840842;0.050788167;0.052687322;0.096582098;-0.06240746;-0.005012542;-0.021530119;-0.044160896
192904;0.023716527;-0.019386714;0.01064316;0.012817504;0.045833416;-0.026343975;0.008166563;0.02391182;0.03979747;0.015774919
192905;-0.082512422;-0.149544637;-0.140297086;-0.086756864;-0.044683608;-0.075154674;-0.092334611;-0.071710848;0.027323296;-0.065605757
192906;0.04315527;0.06803241;0.111094048;0.029558802;0.125663018;0.061753396;0.071483102;0.046215424;0.205061044;0.051453282
192907;0.009851316;-0.015316704;0.018036362;0.016463726;0.063068691;0.099121091;0.008265744;0.030626194;0.072878645;0.027128667
