Year/Month,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,31.93,53.05,38.49,84.59,89.75,350.36,39.19,25.52,81.22,52.19
192608,32.35,61.05,40.17,83.49,92.3,353.27,39.13,25.8,86.81,53.17
192609,33.55,62.94,41.16,86.27,94.49,360.96,38.76,26.73,85.01,55.3
192610,33.69,65.75,41.39,82.94,93.38,364.16,38.77,26.87,86.41,55.21
192611,33.2,60.18,39.77,82.19,89.05,363.74,37.79,26.54,83.92,53.49
192612,35.16,58.76,41.25,81.69,93.02,369.65,40.02,27.81,86.7,54.76
192701,35.17,64.38,42.37,85.19,92.25,371.52,40.19,27.62,86.12,56.14
192702,35.61,63.63,42.21,86.11,91.14,378.52,39.06,28.85,84.41,57.33
192703,36.68,68.73,44.53,86.96,94.97,393.55,40.28,29.16,87.9,60.01
192704,37.36,69.66,44.88,81.29,95.58,500.46,40.05,29.4,87.84,60.97
192705,38.56,71.7,45.09,76.9,100.74,489.8,41.58,30.03,89.13,61.41
192706,41.6,74.97,47.65,80.21,107.82,506.18,42.51,31.08,97,65.08
192707,39.42,67.29,45.74,85.18,93.43,421.56,39.24,33.05,100.48,60.01
192708,41.26,75.92,51.52,87.49,104.79,437.31,43,36.12,105.48,63.43
192709,42.3,80.69,52.8,86.93,110.48,439.17,45.98,36.02,108.73,62.54
192710,44.56,85.09,55.06,89.49,111.14,462.04,49.36,37.99,117.36,65.07
192711,42.32,81.24,52.06,87.42,108.19,452.37,46.81,39.62,111.96,62.49
192712,45.12,84.82,57.39,90.69,119.56,465.15,52.09,40.86,118.67,65.62
192801,46.13,91.22,58.87,90.6,120.27,465.55,51.66,40.55,120.98,66.46
192802,46.33,88.04,58.4,88.78,119.76,466.92,51.1,41.46,127.73,65.63
192803,44.25,88.53,57.43,88.11,118.9,465.52,50.33,34.35,131.36,64.09
192804,45.9,112.7,61.82,92.54,141.29,468.84,54.5,37.75,139.7,67.68
192805,45.63,114.21,62.61,106.44,144.41,592,54.28,38.56,154.57,70.38
192806,45.94,119.28,64.64,100.33,147.42,631.15,57.52,41.86,156.5,70.18
192807,42.82,112.49,60.19,96.24,140.92,644.26,52.7,62.28,154.49,69.65
192808,43.9,115.79,61.25,97.14,141.81,636.03,55.47,63.68,152.09,69.23
192809,46.44,125.67,66.26,99,155.34,664.99,62.81,72.5,161.4,72.21
192810,46.75,135.35,68.82,104.02,155.57,657.74,62.84,71.51,167.22,72.4
192811,47.09,135.29,71.67,106.03,158.37,677.23,66.45,71.46,163.61,71.94
