All;Recession
0.508111825;0.937862375
0.627727036;-0.308831219
0.492649159;-0.651364182
0.26346213;-0.231658095
-1.332425746;-2.466081742
-0.286639103;0.407325003
0.733628272;-0.321550773
0.62958893;-0.149252764
0.674362456;-0.599991628
0.919908104;-0.069751826
-1.124245841;-0.164876634
-1.291882412;-0.534189148
0.2387489;-0.748465398
0.217215058;0.944318485
-0.387641711;0.444892814
0.750518976;-0.139829274
-0.097864157;-0.502317517
0.312415179;0.309939643
0.962704125;-1.112035577
-2.097259207;-0.458450715
-0.205705129;0.922798065
-1.081904083;0.390393778
0.268165188;0.08244181
0.984124832;0.998314375
0.774229949;0.525199945
0.85883624;0.643190116
0.207486591;0.083690879
0.937862375;0.612312239
-0.308831219;0.089326213
-0.651364182;0.209067794
-0.231658095;-0.574205243
-2.466081742;-0.730167997
0.407325003;0.204159986
-0.321550773;-0.313720759
-0.149252764;-0.667825481
-0.599991628;0.599696547
-0.069751826;-0.271348767
-0.164876634;0.987767843
-0.534189148;0.321773808
-0.086277628;-1.59061495
-0.317875405;-1.384964956
-0.072728965;-1.523423053
0.123501921;-2.27223637
0.070250498;0.998855874
-0.318175875;0.999998748
-0.250340937;-0.971571401
0.292549625;0.537654914
-0.292467749;0.999991202
-0.840963927;0.99999397
0.815633443;0.999999061
0.580506405;-0.552525465
-0.467763866;-1.67116975
-0.775764414;-0.017317008
-1.392962851;-0.051859531
-0.429971512;-0.042491084
0.995309973;0.985458807
-0.613416463;0.380638484
0.56785444;-2.149518326
0.991592934;0.291937311
-1.055133768;0.121135416
-1.376107416;0.999952217
-0.357183588;1.000001081
0.75741216;-0.292828079
-0.2559468;0.99999629
-0.621180599;0.999980977
-0.290739719;1.000000202
0.803870713;-0.607313011
-0.579211518;-0.600944881
0.4146727;0.993306488
-0.766258993;0.784708412
-1.225340327;0.024072937
0.258518126;0.185088333
0.001518111;0.46362941
0.325805147;0.217758144
0.931512128;0.970771156
-1.722429063;-0.406983375
-0.491337681;0.422948523
-0.246164196;-0.667215618
-0.327722554;0.522705691
-0.049776503;0.425495793
0.269662896;0.999096285
-0.345548239;0.999855499
0.473635994;0.33181557
-0.748465398;0.11943243
0.944318485;-0.058353157
0.444892814;0.845450098
-0.139829274;0.605122306
-0.502317517;-0.3548057
0.309939643;0.545257783
-1.112035577;0.113252374
-0.458450715;0.838181926
0.922798065;0.870375029
0.390393778;-0.177622262
0.08244181;0.479401343
0.452129319;0.999991924
-0.731292285;0.431316309
0.419952563;0.479452389
0.562765565;0.78781038
0.207746783;0.953879238
0.867300101;0.527505181
-0.462426967;-0.821221062
-0.116139784;-0.109943555
-0.842781719;0.396635281
-0.154569146;0.250493539
-0.453942455;-0.084549957
-0.419412746;-0.268256878
-0.230199;0.13657023
-0.259257431;0.206854483
0.153383089;-0.359184042
0.389814794;0.147893707
0.706680647;-0.165391553
-0.858879323;-0.242881068
-0.431565533;0.984792971
0.500459022;0.764802438
-0.916858716;0.154468455
-1.074985753;0.921081431
0.215695825;0.228263473
0.496906551;0.66784807
-0.843172276;0.043540206
-1.242081208;-0.161790762
0.437145355;-0.219486456
0.615311935;0.164409178
-0.010110823;0.861212497
-0.035295818;0.135077105
-0.357992053;0.887490826
-0.14191397;0.948686035
0.910218753;-0.269975952
-0.51477811;-0.143158789
-1.106891984;0.326891959
0.261641233;-1.266477869
0.327962389;0.798602843
-0.053204052;-0.137009187
0.998314375;0.334985575
0.525199945;
0.643190116;
0.083690879;
0.612312239;
0.089326213;
0.209067794;
-0.574205243;
-0.730167997;
-1.040396235;
-1.210242967;
-0.263859356;
-0.429909518;
-0.474694459;
0.570421152;
-0.443048401;
0.533032658;
-0.437044268;
-0.367683941;
0.063917986;
-0.070217788;
0.311242564;
-0.001093701;
-0.768308869;
0.43917348;
0.963810585;
-0.459602564;
-0.2486319;
-0.127600948;
0.873105753;
0.263854962;
0.536475803;
0.204159986;
-0.313720759;
-0.667825481;
0.599696547;
-0.271348767;
0.987767843;
0.321773808;
-1.59061495;
-1.384964956;
-1.523423053;
-2.27223637;
