time,node,obj,bestbound
1.2846669810746e13,0.0,1580.63,1041.99
1.2846674642088e13,0.0,1580.63,1070.3
1.2846677231323e13,0.0,1580.63,1070.3
1.2846699515662e13,0.0,1567.22,1070.3
1.2846703141174e13,1.0,1567.22,1070.3
1.2846707011353e13,2.0,1567.22,1070.3
1.2846710561022e13,3.0,1567.22,1072.61
1.2846712009696e13,4.0,1567.22,1072.61
1.2846713541869e13,5.0,1567.22,1073.3
1.2846714332386e13,6.0,1567.22,1073.3
1.2846715683339e13,7.0,1567.22,1073.3
1.2846717335476e13,8.0,1567.22,1073.3
1.2846719409854e13,10.0,1567.22,1074.12
1.2846721637011e13,11.0,1567.22,1074.69
1.2846722390336e13,12.0,1567.22,1074.69
1.2846723095165e13,13.0,1567.22,1074.69
1.2846723938189e13,14.0,1567.22,1074.69
1.284672702879e13,15.0,1567.22,1074.69
1.2846727771905e13,16.0,1567.22,1074.69
1.2846728540909e13,17.0,1567.22,1074.69
1.2846729302255e13,18.0,1567.22,1074.69
1.2846731682557e13,19.0,1567.22,1074.69
1.2846732661588e13,20.0,1567.22,1074.69
1.2846733622022e13,21.0,1567.22,1074.69
1.2846736674337e13,22.0,1567.22,1074.69
1.2846740050442e13,23.0,1567.22,1074.69
1.2846740786265e13,24.0,1567.22,1074.69
1.2846741634758e13,25.0,1567.22,1074.69
1.2846743301115e13,26.0,1567.22,1074.69
1.2846744302388e13,27.0,1567.22,1074.69
1.2846745189168e13,28.0,1567.22,1074.69
1.2846750167091e13,29.0,1567.22,1074.69
1.2846751082676e13,30.0,1567.22,1074.69
1.2846752221414e13,31.0,1567.22,1074.69
1.2846753625238e13,32.0,1567.22,1074.69
1.2846755597885e13,33.0,1537.66,1074.69
1.2846756366159e13,34.0,1537.66,1074.69
1.2846759800241e13,35.0,1537.66,1074.69
1.2846761250737e13,38.0,1537.66,1074.69
1.284676221263e13,39.0,1537.66,1074.69
1.2846763151187e13,40.0,1537.66,1074.69
1.2846764153189e13,41.0,1537.66,1074.69
1.2846765002776e13,42.0,1537.66,1074.69
1.2846769039591e13,43.0,1537.66,1074.69
1.2846769689361e13,44.0,1537.66,1074.69
1.2846770981973e13,45.0,1537.66,1074.69
1.2846771775771e13,46.0,1537.66,1074.69
1.2846773364827e13,47.0,1537.66,1074.69
1.2846774170659e13,48.0,1537.66,1074.69
1.2846774891167e13,49.0,1537.66,1074.69
1.2846775860717e13,50.0,1537.66,1074.69
1.2846777684959e13,51.0,1537.66,1074.69
1.2846778523972e13,52.0,1537.66,1074.69
1.2846781023143e13,53.0,1537.66,1074.69
1.2846781777926e13,54.0,1537.66,1074.69
1.2846782636994e13,55.0,1537.66,1074.69
1.284678342824e13,56.0,1537.66,1074.69
1.2846784212558e13,57.0,1537.66,1074.69
1.2846785110276e13,58.0,1537.66,1074.69
1.2846785958769e13,59.0,1537.66,1074.69
1.2846786759496e13,60.0,1537.66,1074.69
1.2846787545273e13,61.0,1537.66,1074.69
1.2846788302609e13,62.0,1537.66,1074.69
1.2846789155477e13,63.0,1537.66,1074.69
1.2846789924846e13,64.0,1537.66,1074.69
1.2846794698212e13,65.0,1537.66,1074.69
1.2846795968217e13,66.0,1537.66,1074.69
1.2846796733574e13,67.0,1537.66,1074.69
1.2846797477419e13,68.0,1537.66,1074.69
1.2846798085621e13,69.0,1537.66,1074.69
1.2846798732109e13,70.0,1537.66,1074.69
1.284679935125e13,72.0,1537.66,1074.69
1.2846800044411e13,73.0,1537.66,1074.69
1.2846800767837e13,74.0,1537.66,1074.69
1.2846801490532e13,75.0,1537.66,1074.69
1.2846802279226e13,76.0,1537.66,1074.69
1.2846802914411e13,77.0,1537.66,1074.69
1.2846803607572e13,78.0,1537.66,1074.69
1.2846808857509e13,79.0,1537.66,1074.69
1.2846809633806e13,80.0,1537.66,1076.63
1.2846810333894e13,81.0,1537.66,1076.63
1.284681098804e13,82.0,1537.66,1076.63
1.2846811793142e13,83.0,1537.66,1076.63
1.2846812414106e13,84.0,1537.66,1076.63
1.2846813100704e13,85.0,1537.66,1076.63
1.2846813850382e13,86.0,1537.66,1076.63
1.2846814611729e13,87.0,1537.66,1076.63
1.2846815309995e13,88.0,1537.66,1076.63
1.2846816025763e13,89.0,1537.66,1076.63
1.2846817284829e13,90.0,1144.08,1076.63
1.2846818658024e13,91.0,1144.08,1076.63
1.2846819810254e13,92.0,1144.08,1076.63
1.2846821533128e13,93.0,1144.08,1076.63
1.2846822402405e13,94.0,1144.08,1076.63
1.2846829144407e13,95.0,1144.08,1076.63
1.2846829932736e13,96.0,1144.08,1076.63
1.2846830683144e13,97.0,1144.08,1076.63
1.2846831370471e13,98.0,1144.08,1076.63
1.2846832004562e13,99.0,1144.08,1076.63
1.2846832910302e13,100.0,1144.08,1076.63
1.2846836536179e13,101.0,1144.08,1076.63
1.2846838067988e13,102.0,1144.08,1076.63
1.2846838903354e13,103.0,1144.08,1076.63
1.2846840288582e13,104.0,1144.08,1076.63
1.284684468091e13,105.0,1144.08,1076.63
1.2846845896585e13,106.0,1144.08,1076.63
1.284684676805e13,107.0,1144.08,1076.63
1.2846848302047e13,108.0,1144.08,1076.63
1.2846849400676e13,109.0,1144.08,1076.63
1.2846850721729e13,110.0,1143.12,1076.63
1.2846851510788e13,111.0,1143.12,1076.63
1.2846852267029e13,112.0,1143.12,1076.63
1.2846853085988e13,113.0,1143.12,1076.63
1.2846854462829e13,114.0,1143.12,1076.63
1.2846862594069e13,115.0,1143.12,1076.63
1.284686472934e13,117.0,1143.12,1084.94
1.2846865790777e13,118.0,1143.12,1084.94
1.2846866740637e13,119.0,1143.12,1084.94
1.2846867551574e13,120.0,1143.12,1084.94
1.2846868301252e13,121.0,1143.12,1084.94
1.284686926351e13,122.0,1143.12,1084.94
1.2846870321665e13,123.0,1143.12,1084.94
1.2846871342628e13,124.0,1143.12,1084.94
1.2846872400054e13,125.0,1143.12,1084.94
1.2846873372156e13,126.0,1143.12,1084.94
1.2846874335508e13,127.0,1143.12,1084.94
1.2846877790373e13,128.0,1143.12,1084.94
1.2846878911609e13,129.0,1143.12,1084.94
1.2846880392735e13,130.0,1143.12,1084.94
1.2846883108132e13,131.0,1143.12,1084.94
1.2846884376678e13,132.0,1143.12,1084.94
1.2846885225171e13,133.0,1143.12,1084.94
1.2846886425167e13,134.0,1143.12,1084.94
1.2846887355702e13,135.0,1143.12,1084.94
1.2846888502827e13,136.0,1143.12,1084.94
1.2846889258704e13,137.0,1143.12,1084.94
1.2846889939832e13,138.0,1143.12,1084.94
1.2846898290944e13,139.0,1143.12,1084.94
1.2846899167878e13,140.0,1142.41,1084.94
1.2846899869426e13,141.0,1142.41,1084.94
1.2846900610718e13,142.0,1142.41,1084.94
1.2846901844989e13,143.0,1142.41,1084.94
1.2846902917e13,144.0,1142.41,1084.94
1.284690382274e13,145.0,1142.41,1084.94
1.2846904640969e13,146.0,1142.41,1084.94
1.2846905562388e13,147.0,1142.41,1084.94
1.2846906284719e13,148.0,1142.41,1084.94
1.2846906942146e13,149.0,1142.41,1084.94
1.2846907661561e13,150.0,1142.41,1084.94
1.2846908409416e13,151.0,1142.41,1084.94
1.2846909140134e13,152.0,1142.41,1084.94
1.2846909829648e13,153.0,1142.41,1084.94
1.2846910504213e13,154.0,1142.41,1084.94
1.2846911221439e13,155.0,1142.41,1084.94
1.2846911968566e13,156.0,1142.41,1084.94
1.2846912744862e13,157.0,1142.41,1084.94
1.2846914027264e13,158.0,1142.41,1084.94
1.2846914648958e13,159.0,1142.41,1084.94
1.2846915318782e13,160.0,1142.41,1084.94
1.2846915926985e13,161.0,1142.41,1084.94
1.2846916534822e13,162.0,1142.41,1084.94
1.2846917149588e13,163.0,1142.41,1084.94
1.2846917755967e13,164.0,1142.41,1084.94
1.2846918720777e13,165.0,1142.41,1084.94
1.2846919506189e13,166.0,1142.41,1084.94
1.2846927836152e13,167.0,1142.41,1084.94
1.2846929031408e13,168.0,1142.41,1085.21
1.2846929731862e13,169.0,1142.41,1085.21
1.2846930460027e13,170.0,1142.41,1085.21
1.2846931182358e13,171.0,1142.41,1085.21
1.2846931878801e13,172.0,1142.41,1085.21
1.2846932564669e13,173.0,1142.41,1085.21
1.2846933234494e13,174.0,1142.41,1085.21
1.2846933935312e13,175.0,1142.41,1085.21
1.2846934629202e13,176.0,1142.41,1085.21
