Index,YM,Average,CumSumAverage,Month,Year,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Index,D12,E12,b.m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
1.00,192607.00,1.70,1.70,7.00,1926.00,1.17,4.03,2.3,-2.19,2.21,1.31,0.69,2.45,4.85,0.21,12.88,0.6525,1.244,0.43326258,0.0311,0.0471,0.0579,0.037,0,0.002591667,-0.011299435,4.00E-04,0.0057,0.000642888,0,0.040403,0.038168
2.00,192608.00,2.44,4.14,8.00,1926.00,5.28,0.28,2.11,4.41,2.61,1.08,-0.03,6.11,-2,4.53,13.1,0.66,1.243,0.427050643,0.0327,0.0472,0.0581,0.0373,0,0.002725,-0.005714286,0,0.0044,0.001208628,0,0.029822,0.025747
3.00,192609.00,-0.36,3.78,9.00,1926.00,0.03,-3.34,0.53,-3.51,0.86,0.22,-0.71,0.8,2.06,-0.53,13.4,0.6675,1.242,0.43871294,0.0342,0.0472,0.0579,0.0372,0,0.00285,0.005747126,0.0038,0.0057,0.000740769,0,0.01342,0.009122
4.00,192610.00,-2.98,0.80,10.00,1926.00,-2.59,-9.46,-5.11,2.67,-5.72,-0.99,-3.28,0.13,-2.98,-2.51,12.98,0.675,1.242,0.460334306,0.0358,0.0471,0.0581,0.0367,0,0.002983333,0.005714286,0.0102,0.0097,0.002161148,0,-0.030172,-0.032434
5.00,192611.00,2.69,3.49,11.00,1926.00,6.07,-0.38,1.69,1.59,1.32,1.48,1.35,7.2,5.71,0.85,13.27,0.6825,1.241,0.443308847,0.0335,0.0468,0.0577,0.0358,0,0.002791667,0.005681818,0.016,0.0057,0.000538589,0,0.026937,0.019367
6.00,192612.00,2.28,5.76,12.00,1926.00,0.41,4.8,3.39,4.92,1.46,1.62,2.81,0.42,1.72,1.23,13.49,0.69,1.24,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,0,0.026047,0.020321
7.00,192701.00,0.98,6.75,1.00,1927.00,-1.49,-2.27,0.78,3.68,0.44,0.13,-2.29,6.13,-0.44,5.16,13.21,0.6967,1.229,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050832763,0.002691667,-0.011299435,0.0075,0.0056,0.000469895,0,-0.00291,-0.005579
8.00,192702.00,5.58,12.33,2.00,1927.00,3.57,6.06,6.38,4.24,8.33,6.98,5.1,2.47,4.88,7.81,13.84,0.7033,1.218,0.428500864,0.0329,0.0467,0.0559,0.0347,0.051680967,0.002741667,-0.005714286,0.0088,0.0069,0.000287334,0,0.045522,0.040566
9.00,192703.00,-1.39,10.94,3.00,1927.00,-3.23,-2.36,-1.24,-9.15,-1.58,1.35,0.25,-0.2,2.19,0.04,13.93,0.71,1.208,0.469765117,0.032,0.0462,0.0554,0.0331,0.046369916,0.002666667,-0.005747126,0.0253,0.0083,0.000924193,0,0.007324,0.00261
10.00,192704.00,1.27,12.20,4.00,1927.00,1.33,-1.17,1.57,-3.93,2.04,0.58,3.33,5.8,1.69,1.44,14.17,0.7167,1.197,0.45675413,0.0339,0.0458,0.0548,0.0333,0.050517902,0.002825,0,-5.00E-04,0.0055,0.000602589,0,0.013021,0.010907
11.00,192705.00,5.43,17.63,5.00,1927.00,7.13,4.15,6.24,7.43,3.14,1.6,2.11,4.79,9.29,8.42,14.91,0.7233,1.186,0.434782609,0.0333,0.0457,0.055,0.0327,0.055279033,0.002775,0.005780347,0.0109,-0.0011,0.000391734,0,0.062353,0.057096
12.00,192706.00,-1.37,16.26,6.00,1927.00,-2.12,-3.97,-3.57,-0.27,1.57,-2.63,-1.84,3.64,-3.3,-1.25,14.77,0.73,1.175,0.452385249,0.0307,0.0458,0.0555,0.0334,0.058825637,0.002558333,0.011494253,-0.0069,0.0043,0.000824577,0,-0.02037,-0.025705
13.00,192707.00,5.79,22.05,7.00,1927.00,6.56,6.21,7.82,2.2,7.44,4.36,5.96,8.59,4.18,4.56,15.73,0.7367,1.164,0.414553473,0.0296,0.046,0.0555,0.0333,0.059754179,0.002466667,-0.017045455,0.005,3.00E-04,0.00042578,0,0.08445,0.081687
14.00,192708.00,0.89,22.94,8.00,1927.00,1.07,1.74,0.73,-1.96,-1.61,1.31,2.97,0.15,6.17,-1.69,16.43,0.7433,1.153,0.396227409,0.027,0.0456,0.0548,0.0329,0.054525927,0.00225,-0.005780347,0.0076,0.0083,0.001276414,0,0.03332,0.028624
15.00,192709.00,4.02,26.96,9.00,1927.00,2.94,-0.77,1.42,3.97,4.28,5.2,3.75,6,9.42,3.98,17.14,0.75,1.143,0.380586062,0.0268,0.0454,0.0542,0.033,0.094616789,0.002233333,0.005813954,0.0018,0.0149,0.00112335,0,0.053016,0.049095
16.00,192710.00,-2.82,24.13,10.00,1927.00,-1.5,-3.69,-4.63,-4.5,-3.83,-2.33,-3.7,5.15,-4.68,-4.51,16.23,0.7567,1.132,0.413800693,0.0308,0.0451,0.0538,0.0325,0.094370727,0.002566667,0.005780347,0.0099,0.0055,0.001559338,0,-0.046804,-0.04896
