"NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Index","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx","YNeg"
0.41,4.8,3.39,4.92,1.46,1.62,2.81,0.42,1.72,1.23,13.49,0.69,1.24,0.441475827,0.0307,0.0468,0.0568,0.0354,0.0508852104,0.0025583333,0,0.0078,0.0056,0.0004646178,0,0.026047,0.020321,-2.59
-3.23,-2.36,-1.24,-9.15,-1.58,1.35,0.25,-0.2,2.19,0.04,13.93,0.71,1.208,0.4697651174,0.032,0.0462,0.0554,0.0331,0.0463699163,0.0026666667,-0.0057471264,0.0253,0.0083,0.0009241928,0,0.007324,0.00261,-1.49
7.13,4.15,6.24,7.43,3.14,1.6,2.11,4.79,9.29,8.42,14.91,0.7233,1.186,0.4347826087,0.0333,0.0457,0.055,0.0327,0.0552790327,0.002775,0.0057803468,0.0109,-0.0011,0.0003917338,0,0.062353,0.057096,-3.23
1.07,1.74,0.73,-1.96,-1.61,1.31,2.97,0.15,6.17,-1.69,16.43,0.7433,1.153,0.3962274092,0.027,0.0456,0.0548,0.0329,0.0545259274,0.00225,-0.0057803468,0.0076,0.0083,0.0012764139,0,0.03332,0.028624,-2.12
3.51,6.59,4.86,0.6,1,3.42,1.83,-1.42,1.8,2.08,17.66,0.77,1.11,0.3746885899,0.0317,0.0446,0.0532,0.0316,0.076474752,0.0026416667,0,0.0072,0.0068,0.0006042041,0,0.019295,0.014403,-1.5
3.94,5.23,8.15,26.03,4.84,2.41,5.23,3.36,10.94,7.37,19.75,0.7967,1.2,0.3680952606,0.0362,0.0446,0.0533,0.0319,0.0493720638,0.0030166667,0,-4e-04,0.0014,0.0014879603,0,0.034725,0.032715,-2.42
5.14,10.53,7.57,0.98,5.49,2.33,7.68,9.38,5.72,4.38,20.87,0.8233,1.29,0.3240297825,0.0436,0.0464,0.0561,0.0341,0.0573989063,0.0036333333,0,0.0076,0.0083,0.0012293169,0,0.07023,0.065514,-7.46
-2.45,-0.95,2.44,0.98,5.55,-1.51,-0.6,-0.07,-1.52,1.29,25.59,0.87,1.418,0.2454238997,0.0439,0.0466,0.0566,0.0363,0.0717831373,0.0036583333,0,-0.0157,0.003,0.0026701165,0,-0.004874,-0.008075,-1.02
2.4,-1.92,1.07,1.29,4.69,-2.6,0.82,2.42,4.06,1.59,25.94,0.89,1.457,0.2633969119,0.048,0.0469,0.058,0.0358,0.0993226329,0.004,-0.0058823529,0.0275,0.0019,0.0023043615,0,0.019559,0.018234,-2.45
-7.92,-13.89,-13.09,-8.31,-4.37,-7.24,-8.82,-6.92,2.77,-6.35,24.83,0.9,1.476,0.2827746209,0.0509,0.047,0.058,0.0373,0.1179866681,0.0042416667,0.0059171598,-0.0162,0.0045,0.0047598084,0,-0.041281,-0.046101,-5.37
