"NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Index","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx","Ypos"
0.03,-3.34,0.53,-3.51,0.86,0.22,-0.71,0.8,2.06,-0.53,13.4,0.6675,1.242,0.4387129401,0.0342,0.0472,0.0579,0.0372,0,0.00285,0.0057471264,0.0038,0.0057,0.0007407694,0,0.01342,0.009122,1.17
-2.59,-9.46,-5.11,2.67,-5.72,-0.99,-3.28,0.13,-2.98,-2.51,12.98,0.675,1.242,0.4603343062,0.0358,0.0471,0.0581,0.0367,0,0.0029833333,0.0057142857,0.0102,0.0097,0.0021611479,0,-0.030172,-0.032434,5.28
6.07,-0.38,1.69,1.59,1.32,1.48,1.35,7.2,5.71,0.85,13.27,0.6825,1.241,0.443308847,0.0335,0.0468,0.0577,0.0358,0,0.0027916667,0.0056818182,0.016,0.0057,0.0005385885,0,0.026937,0.019367,0.03
-1.49,-2.27,0.78,3.68,0.44,0.13,-2.29,6.13,-0.44,5.16,13.21,0.6967,1.229,0.4437056454,0.0323,0.0466,0.0561,0.0351,0.050832763,0.0026916667,-0.011299435,0.0075,0.0056,0.0004698947,0,-0.00291,-0.005579,6.07
3.57,6.06,6.38,4.24,8.33,6.98,5.1,2.47,4.88,7.81,13.84,0.7033,1.218,0.4285008644,0.0329,0.0467,0.0559,0.0347,0.0516809667,0.0027416667,-0.0057142857,0.0088,0.0069,0.0002873343,0,0.045522,0.040566,0.41
1.33,-1.17,1.57,-3.93,2.04,0.58,3.33,5.8,1.69,1.44,14.17,0.7167,1.197,0.4567541302,0.0339,0.0458,0.0548,0.0333,0.0505179017,0.002825,0,-5e-04,0.0055,0.0006025886,0,0.013021,0.010907,3.57
-2.12,-3.97,-3.57,-0.27,1.57,-2.63,-1.84,3.64,-3.3,-1.25,14.77,0.73,1.175,0.4523852494,0.0307,0.0458,0.0555,0.0334,0.0588256372,0.0025583333,0.0114942529,-0.0069,0.0043,0.000824577,0,-0.02037,-0.025705,1.33
6.56,6.21,7.82,2.2,7.44,4.36,5.96,8.59,4.18,4.56,15.73,0.7367,1.164,0.414553473,0.0296,0.046,0.0555,0.0333,0.0597541787,0.0024666667,-0.0170454545,0.005,3e-04,0.0004257798,0,0.08445,0.081687,7.13
2.94,-0.77,1.42,3.97,4.28,5.2,3.75,6,9.42,3.98,17.14,0.75,1.143,0.380586062,0.0268,0.0454,0.0542,0.033,0.0946167888,0.0022333333,0.0058139535,0.0018,0.0149,0.0011233495,0,0.053016,0.049095,6.56
-1.5,-3.69,-4.63,-4.5,-3.83,-2.33,-3.7,5.15,-4.68,-4.51,16.23,0.7567,1.132,0.4138006933,0.0308,0.0451,0.0538,0.0325,0.0943707272,0.0025666667,0.0057803468,0.0099,0.0055,0.0015593375,0,-0.046804,-0.04896,1.07
7.66,11.38,14.47,9.83,14.85,3.66,8.7,5.05,5.96,7.67,17.33,0.7633,1.121,0.3793955905,0.0304,0.0449,0.0535,0.032,0.082270951,0.0025333333,-0.0057471264,0.0097,0.0068,0.0009296591,0,0.070546,0.06427,2.94
4.18,-1.94,5.22,-0.48,1.8,-1.85,3.89,1.45,8.76,3.3,17.57,0.7767,1.133,0.3786696208,0.0331,0.0446,0.0535,0.0321,0.0626051546,0.0027583333,0,-0.0036,0.0027,0.0008605259,0,-0.007182,-0.0092,7.66
-2.42,-2.45,-2.69,-2.02,0.08,-0.38,-1.46,-1.89,-1.63,-3.03,17.26,0.7833,1.155,0.3860765992,0.0333,0.0446,0.0533,0.0318,0.0551726339,0.002775,-0.0115606936,0.0061,0.0068,0.0006911239,0,-0.012549,-0.016679,3.51
5.56,14.9,6.48,6.21,13.47,3.2,6.16,8.96,4.95,6.19,19.13,0.79,1.177,0.363254838,0.0327,0.0446,0.0532,0.0317,0.0543639372,0.002725,0,0.0045,0.0041,0.0013810077,0,0.105752,0.101652,4.18
2.8,8.92,3.62,-3.41,11.82,6.53,4.62,7.21,1.7,5.11,20,0.8033,1.222,0.3543969792,0.039,0.0449,0.0542,0.0327,0.0471873758,0.00325,0.0058479532,-0.0077,-0.0078,0.0018988588,0,0.012325,0.007422,5.56
-7.46,-11.47,-7.68,-6.13,-4.77,-6.27,-5.02,-1.46,-3.82,-5.64,19.19,0.81,1.245,0.3702999477,0.0392,0.0457,0.0555,0.0326,0.0502987889,0.0032666667,-0.0058139535,0.0041,-0.0024,0.0036454766,0,-0.03433,-0.038725,3.94
0.16,0.19,0.17,1.77,0.17,-0.08,3.24,-0.81,-1.09,-1.02,19.43,0.8167,1.268,0.3606481481,0.0412,0.0461,0.0558,0.0344,0.0593803298,0.0034333333,0,-0.0217,-0.001,0.0016749799,0,0.010117,0.008278,2.8
3,7.73,7.51,7.55,3.23,0.5,3.28,-0.06,4.94,3.6,21.37,0.83,1.312,0.3281658101,0.0457,0.0461,0.0559,0.0346,0.0279800569,0.0038083333,0.0116959064,-0.0041,0.003,0.0006504642,0,0.022409,0.019937,0.16
3.15,0.59,1.2,2.31,1.81,7.54,4.45,0.25,-2.22,0,21.68,0.8367,1.335,0.3089308376,0.047,0.0461,0.0558,0.0336,0.0340193716,0.0039166667,-0.0057803468,0.0158,0.0083,0.0006788455,0,0.013839,0.012055,5.14
8.63,11.8,12.96,14.61,14.16,8.89,10.37,3.51,18.29,10.7,24.28,0.8433,1.357,0.2655259391,0.0426,0.0458,0.0555,0.0338,0.0383720096,0.00355,0,3e-04,-0.0036,0.0015232957,0,0.122975,0.116704,3
-1.02,1.94,1.98,-7.11,3.64,-2.12,-0.15,-0.48,2.32,-1.11,24.35,0.85,1.38,0.2596666667,0.0426,0.0461,0.056,0.034,0.0630687383,0.00355,-0.0058139535,4e-04,0.0084,0.00407747,0,0.006232,0.002888,3.15
1.93,3.24,6.04,-6.29,7.36,7.86,-2.26,4.61,15.63,5.55,25.74,0.86,1.399,0.2453466033,0.0466,0.0462,0.0563,0.0349,0.0784486564,0.0038833333,0,-0.009,0.0043,0.0017008226,0,0.055473,0.053892,8.63
-5.37,-7.01,-2.94,5.21,5.41,10.14,-6.05,-0.5,-2.13,-4.32,25.53,0.88,1.438,0.2723004695,0.046,0.047,0.0579,0.0377,0.0798045664,0.0038333333,-0.0058479532,-0.0144,-0.0087,0.0036114071,0,0.000154,-0.003213,1.93
4.41,7.04,11.75,3,13.39,6.37,7.41,4.73,22.76,5.28,27.62,0.91,1.495,0.2535805819,0.048,0.0477,0.0594,0.0367,0.1161973604,0.004,0.0058823529,0.011,-0.0046,0.0013403801,0,0.112294,0.109584,2.4
-0.08,-2.27,3.25,3.22,6.91,5.06,4.17,-0.54,10.33,3.6,31.71,0.93,1.533,0.2211237609,0.047,0.0479,0.0604,0.0375,0.115277315,0.0039166667,0,-0.0034,0.002,0.003382102,0,0.094871,0.090733,4.41
-3.64,-9.47,-5.17,-3.76,-2.39,-2.88,-3.27,-5.78,2.5,-4.46,30.16,0.94,1.552,0.2448682487,0.0458,0.048,0.0612,0.0375,0.1213901177,0.0038166667,0,0.0027,0.0034,0.0033922824,0,-0.050941,-0.053046,0.99
7.67,16.76,10.79,24.92,11.39,3.85,2.27,7.68,10.6,7.05,25.14,0.9725,1.45,0.3191191891,0.0295,0.0462,0.0573,0.0335,0.1454961766,0.0024583333,-0.0058823529,0.0083,0.0138,0.0015040436,0,0.072348,0.069351,9.36
-4.88,-11.2,-8.52,1.67,-0.97,0.53,2.28,-3.32,1.34,-5.66,24.9,0.9733,1.397,0.3269705977,0.03,0.046,0.057,0.0338,0.1296808921,0.0025,0.0059171598,-0.0016,0.0084,0.0019338617,0,-0.013938,-0.015867,3.54
-2.67,-6.39,-3.89,-5.89,-6.99,-2.33,-2.87,-1.81,-1.91,-3.35,24.49,0.9742,1.343,0.3319155124,0.0241,0.046,0.0572,0.0329,0.1249268071,0.0020083333,-0.0058823529,0.0139,0.0057,0.0046934394,0,-0.011148,-0.015304,7.67
-12.69,-19.95,-16.19,-17.44,-21.56,-5.65,-10.49,-5.74,-11.88,-15.2,18.59,0.9775,1.13,0.4455832113,0.0177,0.0442,0.0565,0.0324,0.1272003762,0.001475,0.0060606061,0.0074,0.0108,0.0037384063,0,-0.123549,-0.127635,2.09
-0.55,-5.06,-7.82,-12.79,-11.27,-1,-1.26,0.65,-4.48,-9.11,16.69,0.94,0.88,0.529125087,0.0138,0.0439,0.0644,0.0332,0.0739691724,0.00115,-0.0063694268,0.0104,0.0094,0.0041687518,0,-0.068939,-0.073451,15.34
-14.1,-20.31,-17.47,-17.66,-16.35,-7.46,-10.21,-11.43,-9.96,-14.15,15.09,0.9267,0.85,0.6032144983,0.0149,0.044,0.0672,0.0327,0.0777687853,0.0012416667,-0.0064102564,0.0086,0.0067,0.0067092657,0,-0.092955,-0.09546,13.34
-2.27,-3.48,-3.29,8.71,-2.3,-0.2,-0.14,-1.1,0.85,-4.37,13.86,0.8733,0.73,0.654185496,0.0042,0.044,0.0747,0.0326,0.0201448096,0.00035,0,0.0012,0.0012,0.0045420398,0,0.007779,0.002304,15.19
-13.2,-17.39,-18.21,-21.94,-19.11,-13.49,-20.34,-11.51,-12.76,-21.63,8.12,0.82,0.61,1.1707317073,0.0241,0.0532,0.1042,0.0407,-0.0129441955,0.0020083333,-0.0068027211,-0.022,-0.0286,0.0211953493,0,-0.137557,-0.145471,10.53
-7.47,-16.49,-12.35,-4.08,-15.39,-4.34,-15.96,-8.89,-10.43,-15.35,7.31,0.74,0.56,1.1858624454,0.0225,0.0498,0.0883,0.037,-0.0084155117,0.001875,-0.0070921986,-0.0018,0.0356,0.0134089221,0,-0.118907,-0.125245,6.46
-15.92,-24.83,-19.78,-12.35,-23.4,-20.4,-10.09,-13.65,-16.22,-18.6,5.83,0.7133,0.5433,1.5537278741,0.0111,0.0517,0.1046,0.0336,-0.0154750877,0.000925,-0.0071428571,0.0604,-0.0176,0.0198514127,0,-0.205295,-0.207637,2.96
57.45,74.74,70.08,43.35,53.99,36.21,67.83,40.14,65.6,77.27,8.39,0.6067,0.4767,1.1878075451,0.0014,0.0491,0.0822,0.0321,-0.0150632226,0.0001166667,-0.0073529412,3e-04,0.0436,0.0400193059,0,0.401979,0.394164,7.75
